job_id,Compressor Name,Time (seconds),Ratio
job_input1_0_0,fqzcomp-Q 5,3,9.43
job_input1_1_0,fqzcomp-Q 10,4,10.49
job_input1_2_0,fqzcomp-Q 2,4,7.71
job_input1_6_0,spring-c -l -q ill_bin,4,6.86
job_input1_7_0,SZ3-f -1 63866600 -M REL 0.1,4,5.96
job_input1_9_0,SZ3-f -1 63866600 -M ABS 0.1,6,6.09
job_input1_8_0,SZ3-f -1 63866600 -M REL 0.2,4,6.40
job_input1_10_0,SZ3-f -1 63866600 -M ABS 0.2,5,6.46
job_input1_3_0,spring-c -l -q qvz 0.6,217,8.73
job_input1_5_0,spring-c -l -q qvz 1,223,6.90
job_input1_4_0,spring-c -l -q qvz 0.8,255,7.60
